semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,EN4059,Đồ án chuyên ngành (KTMT),2,TỰ CHỌN TỰ DO,FREE,False
1,EN4347,Đồ án Tốt nghiệp,4,TỰ CHỌN TỰ DO,FREE,False
1,MI1003,Giáo dục Quốc phòng,0,TỰ CHỌN TỰ DO,FREE,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
1,SA4001,Hoạt động sinh viên,0,Thể dục (Chọn 1),PE,False
